ID_Spec,Catalogue Number,AccName,TreeName2,Order,Family,Genus,SO,EF,SpeLab,DepthMin,DepthMax,DepthAve,IUCN,DepthCat3,Mov
'Aetobatus narinari CAS-ICH 68154.jpg',CAS-ICH 68154,Aetobatus_narinari,Aetobatus_narinari,Myliobatiformes,Myliobatidae,Aetobatus,Bat,Extant,Aetob_nar,1,80,40.5,EN,Shelf,Oscil
'Aetobatus narinari USNMRAD 205414.jpg',USNM 205414,Aetobatus_narinari,Aetobatus_narinari,Myliobatiformes,Myliobatidae,Aetobatus,Bat,Extant,Aetob_nar,1,80,40.5,EN,Shelf,Oscil
'Aetomylaeus asperrimus NCat01.jpg',CAS-SU(ICH) 11895,Aetomylaeus_asperrimus,Pteromylaeus_asperrimus,Myliobatiformes,Myliobatidae,Aetomylaeus,Bat,Extant,Aetom_asp,1,50,25.5,DD,Shelf,Oscil
'Aetomylaeus maculatus USNMRAD 222702.jpg',USNM 222702,Aetomylaeus_maculatus,Aetomylaeus_maculatus,Myliobatiformes,Myliobatidae,Aetomylaeus,Bat,Extant,Aetom_mac,1,18,9.5,EN,Reef,Oscil
'Aetomylaeus milvus USNMRAD 110911-001.jpg',USNM RAD 110911,Aetomylaeus_milvus,Aetomylaeus_milvus,Myliobatiformes,Myliobatidae,Aetomylaeus,Bat,Extant,Aetom_mil,1,50,25.5,EN,Shelf,Oscil
'Aetomylaeus nichofii CAS-ICH 36048.jpg',CAS-ICH 36048,Aetomylaeus_nichofii,Aetomylaeus_nichofii,Myliobatiformes,Myliobatidae,Aetomylaeus,Bat,Extant,Aetom_nic,1,100,50.5,VU,Shelf,Oscil
'Aetomylaeus wafickii CAS-ICH 246088.jpg',CAS-ICH 246088,Aetomylaeus_wafickii,Aetomylaeus_wafickii,Myliobatiformes,Myliobatidae,Aetomylaeus,Bat,Extant,Aetom_waf,1,17,9,DD,Shelf,Oscil
'Amblyraja georgiana USNMRAD 110895-004.jpg',USNM RAD 110895,Amblyraja_georgiana,Amblyraja_georgiana,Rajiformes,Rajidae,Amblyraja,Bat,Extant,Ambly_geo,20,350,185,DD,Deep,Undul
'Amblyraja georgiana USNMRAD 110895-005.jpg',USNM RAD 110895,Amblyraja_georgiana,Amblyraja_georgiana,Rajiformes,Rajidae,Amblyraja,Bat,Extant,Ambly_geo,20,350,185,DD,Deep,Undul
'Amblyraja radiata MCZIch-98243.jpg',MCZ Ichthyology 98243,Amblyraja_radiata,Amblyraja_radiata,Rajiformes,Rajidae,Amblyraja,Bat,Extant,Ambly_rad,5,1540,772.5,VU,Deep,Undul
'Amblyraja radiata MCZIchS-870.jpg',MCZ Ichthyology S-870,Amblyraja_radiata,Amblyraja_radiata,Rajiformes,Rajidae,Amblyraja,Bat,Extant,Ambly_rad,5,1540,772.5,VU,Deep,Undul
'Amblyraja radiata USNMRAD 386063.jpg',USNM 386063,Amblyraja_radiata,Amblyraja_radiata,Rajiformes,Rajidae,Amblyraja,Bat,Extant,Ambly_rad,5,1540,772.5,VU,Deep,Undul
