AccName,TreeName2,Order,OrderFos,Family,Genus,SO,EF,SpeLab,DepthCat3,Mov
Acroteriobatus_annulatus,Acroteriobatus_annulatus,Rhinopristiformes,Rhinopristiformes,Rhinobatidae,Acroteriobatos,Bat,Extant,Acrot_ann,Shelf,AxUnd
Acroteriobatus_leucospilus,Acroteriobatus_leucospilus,Rhinopristiformes,Rhinopristiformes,Rhinobatidae,Acroteriobatos,Bat,Extant,Acrot_leu,Shelf,AxUnd
Acroteriobatus_ocellatus,Acroteriobatus_ocellatus,Rhinopristiformes,Rhinopristiformes,Rhinobatidae,Acroteriobatos,Bat,Extant,Acrot_oce,Shelf,AxUnd
Acroteriobatus_zanzibarensis,Acroteriobatus_zanzibarensis,Rhinopristiformes,Rhinopristiformes,Rhinobatidae,Acroteriobatos,Bat,Extant,Acrot_zan,Shelf,AxUnd
Aellopobatis_bavarica,Aellopobatis_bavarica,JrBat,JurBatoid,,Aellopobatis,Bat,Fossil,Aello_bav,Reef,AxUnd
Aetobatus_narinari,Aetobatus_narinari,Myliobatiformes,Myliobatiformes,Myliobatidae,Aetobatus,Bat,Extant,Aetob_nar,Shelf,Oscil
Aetomylaeus_maculatus,Aetomylaeus_maculatus,Myliobatiformes,Myliobatiformes,Myliobatidae,Aetomylaeus,Bat,Extant,Aetom_mac,Reef,Oscil
Aetomylaeus_milvus,Aetomylaeus_milvus,Myliobatiformes,Myliobatiformes,Myliobatidae,Aetomylaeus,Bat,Extant,Aetom_mil,Shelf,Oscil
Aetomylaeus_nichofii,Aetomylaeus_nichofii,Myliobatiformes,Myliobatiformes,Myliobatidae,Aetomylaeus,Bat,Extant,Aetom_nic,Shelf,Oscil
Aetomylaeus_wafickii,Aetomylaeus_wafickii,Myliobatiformes,Myliobatiformes,Myliobatidae,Aetomylaeus,Bat,Extant,Aetom_waf,Shelf,Oscil
Amblyraja_georgiana,Amblyraja_georgiana,Rajiformes,Rajiformes,Rajidae,Amblyraja,Bat,Extant,Ambly_geo,Deep,Undul
Amblyraja_radiata,Amblyraja_radiata,Rajiformes,Rajiformes,Rajidae,Amblyraja,Bat,Extant,Ambly_rad,Deep,Undul
Springeria_folirostris,Springeria_folirostris,Rajiformes,Rajiformes,Anacanthobatidae,Springeria,Bat,Extant,Sprin_fol,Deep,Undul
Springeria_longirostris,Springeria_longirostis,Rajiformes,Rajiformes,Anacanthobatidae,Springeria,Bat,Extant,Sprin_lon,Deep,Undul
Indobatis_ori,Indobatis_ori,Rajiformes,Rajiformes,Anacanthobatidae,Indobatis,Bat,Extant,Indob_ori ,Deep,Undul
Anoxypristis_cuspidata,Anoxypristis_cuspidata,Rhinopristiformes,Rhinopristiformes,Pristidae,Anoxypristis,Bat,Extant,Anoxy_cus,Shelf,AxUnd
Aptychotrema_vincentiana,Aptychotrema_vincentiana,Rhinopristiformes,Rhinopristiformes,Trygonorrhinidae ,Aptychotrema,Bat,Extant,Aptyc_vin,Shelf,AxUnd
Asterodermus_platypterus,Asterodermus_platypterus,JrBat,JurBatoid,,Asterodermus,Bat,Fossil,Astde_spa,Reef,AxUnd
Asterotrygon_maloneyi,Asterotrygon_maloneyi,EoMylio,Myliobatiformes,,Asterotrygon,Bat,Fossil,Aster_mal,Freshwater,Undul
Atlantoraja_castelnaui,Atlantoraja_castelnaui,Rajiformes,Rajiformes,Arhynchobatidae,Atlantoraja,Bat,Extant,Atlan_cas,Shelf,Undul
Atlantoraja_cyclophora,Atlantoraja_cyclophora,Rajiformes,Rajiformes,Arhynchobatidae,Atlantoraja,Bat,Extant,Atlan_cyc,Shelf,Undul
Atlantoraja_platana,Atlantoraja_platana,Rajiformes,Rajiformes,Arhynchobatidae,Atlantoraja,Bat,Extant,Atlan_pla,Shelf,Undul
Bathyraja_abyssicola,Bathyraja_abyssicola,Rajiformes,Rajiformes,Arhynchobatidae,Bathyraja,Bat,Extant,Bathy_aby,Deep,Undul
Bathyraja_aguja,Bathyraja_aguja,Rajiformes,Rajiformes,Arhynchobatidae,Bathyraja,Bat,Extant,Bathy_agu,Deep,Undul
Bathyraja_aleutica,Bathyraja_aleutica,Rajiformes,Rajiformes,Arhynchobatidae,Bathyraja,Bat,Extant,Bathy_ale,Deep,Undul
Bathyraja_kincaidii,Bathyraja_kincaidii,Rajiformes,Rajiformes,Arhynchobatidae,Bathyraja,Bat,Extant,Bathy_kin,Deep,Undul
Bathyraja_maccaini,Bathyraja_maccaini,Rajiformes,Rajiformes,Arhynchobatidae,Bathyraja,Bat,Extant,Bathy_mac,Deep,Undul
Belemnobatis sismondae,Belemnobatis_sismondae,JrBat,JurBatoid,,Belemnobatis,Bat,Fossil,Belem_sis,Shelf,AxUnd
Benthobatis marcida,Benthobatis_marcida,Torpediniformes,Torpediniformes,Narcinidae,Benthobatis,Bat,Extant,Benth_mar,Deep,AxUnd
Beringraja binoculata ,Beringraja_binoculata,Rajiformes,Rajiformes,Rajidae,Beringraja,Bat,Extant,Berin_bin,Deep,Undul
Brachaelurus waddi,Brachaelurus_waddi,Orectolobiformes,Orectolobiformes,Brachaeluridae,Brachaelurus,Sel,Extant,Brach_wad,Reef,AxUnd
Breviraja claramaculata,Breviraja_claramaculata,Rajiformes,Rajiformes,Rajidae,Breviraja,Bat,Extant,Brevi_cla,Deep,Undul
Breviraja colesi,Breviraja_colesi,Rajiformes,Rajiformes,Rajidae,Breviraja,Bat,Extant,Brevi_col,Deep,Undul
Breviraja spinosa,Breviraja_spinosa,Rajiformes,Rajiformes,Rajidae,Breviraja,Bat,Extant,Brevi_spi,Deep,Undul
Britobatos primarmata ,Britobatos_primarmata,CrRhin,Rhinopristiformes,,Britobatos,Bat,Fossil,Brito_pri,Shelf,AxUnd
Cruriraja cadenati,Cruriraja_cadenati,Rajiformes,Rajiformes,Gurgesiellidae,Cruriraja,Bat,Extant,Cruri_cad,Deep,Undul
Cruriraja parcomaculata ,Cruriraja_parcomaculata,Rajiformes,Rajiformes,Gurgesiellidae,Cruriraja,Bat,Extant,Cruri_par,Deep,Undul
Cruriraja poeyi,Cruriraja_poeyi,Rajiformes,Rajiformes,Gurgesiellidae,Cruriraja,Bat,Extant,Cruri_poe,Deep,Undul
Cruriraja rugosa,Cruriraja_rugosa,Rajiformes,Rajiformes,Gurgesiellidae,Cruriraja,Bat,Extant,Cruri_rug,Deep,Undul
Cyclobatis longicaudatus,Cyclobatis_longicaudatus,CrRaji,Rajiformes,,Cyclobatis,Bat,Fossil,Cyclo_lon,Shelf,Undul
Cyclobatis mayor,Cyclobatis_mayor,CrRaji,Rajiformes,,Cyclobatis,Bat,Fossil,Cyclo_may,Shelf,Undul
Cyclobatis oligodactylus,Cyclobatis_oligodactylus,CrRaji,Rajiformes,,Cyclobatis,Bat,Fossil,Cyclo_oli,Shelf,Undul
Dactylobatus armatus,Dactylobatus_armatus,Rajiformes,Rajiformes,Rajidae,Dactylobatus,Bat,Extant,Dacty_arm,Deep,Undul
Dactylobatus clarkii ,Dactylobatus_clarkii,Rajiformes,Rajiformes,Rajidae,Dactylobatus,Bat,Extant,Dacty_cla,Deep,Undul
Hypanus americanus,Dasyatis_americana,Myliobatiformes,Myliobatiformes,Dasyatidae,Hypanus,Bat,Extant,Hypan_ama,Reef,Undul
Hemitrygon bennettii ,Dasyatis_bennetti,Myliobatiformes,Myliobatiformes,Dasyatidae,Hemitrygon,Bat,Extant,Hemit_ben,Shelf,Undul
Bathytoshia centroura ,Dasyatis_centroura,Myliobatiformes,Myliobatiformes,Dasyatidae,Bathytoshia,Bat,Extant,Btosh_cen,Shelf,Undul
Hypanus dipterurus ,Dasyatis_dipterura,Myliobatiformes,Myliobatiformes,Dasyatidae,Hypanus,Bat,Extant,Hypan_dip,Shelf,Undul
Hypanus longus ,Dasyatis_longa,Myliobatiformes,Myliobatiformes,Dasyatidae,Hypanus,Bat,Extant,Hypan_lon,Reef,Undul
Fontitrygon margarita ,Dasyatis_margarita,Myliobatiformes,Myliobatiformes,Dasyatidae,Fontitrygon,Bat,Extant,Fonti_mar,Shelf,Undul
Fontitrygon margaritella ,Dasyatis_margaritella,Myliobatiformes,Myliobatiformes,Dasyatidae,Fontitrygon,Bat,Extant,Fonti_mla ,Shelf,Undul
Hypanus rudis,Dasyatis_rudis,Myliobatiformes,Myliobatiformes,Dasyatidae,Hypanus,Bat,Extant,Hypan_rud,Shelf,Undul
Hypanus sabinus ,Dasyatis_sabina,Myliobatiformes,Myliobatiformes,Dasyatidae,Fontitrygon,Bat,Extant,Hypan_sab,Shelf,Undul
Telatrygon zugei ,Dasyatis_zugei,Myliobatiformes,Myliobatiformes,Dasyatidae,Telatrygon,Bat,Extant,Telat_zug,Shelf,Undul
Diplobatis ommata,Diplobatis_ommata,Torpediniformes,Torpediniformes,Narcinidae,Diplobatis,Bat,Extant,Diplo_omm,Reef,AxUnd
Diplobatis picta,Diplobatis_pictus,Torpediniformes,Torpediniformes,Narcinidae,Diplobatis,Bat,Extant,Diplo_pic,Shelf,AxUnd
Dipturus garricki ,Dipturus_garricki,Rajiformes,Rajiformes,Rajidae,Dipturus,Bat,Extant,Diptu_gar,Deep,Undul
Zearaja brevicaudatus,Dipturus_lamillai,Rajiformes,Rajiformes,Rajidae,Dipturus,Bat,Extant,Diptu_lam,Deep,Undul
Dipturus olseni,Dipturus_olseni,Rajiformes,Rajiformes,Rajidae,Dipturus,Bat,Extant,Diptu_ols,Deep,Undul
Dipturus teevani ,Dipturus_teevani,Rajiformes,Rajiformes,Rajidae,Dipturus,Bat,Extant,Diptu_tee,Deep,Undul
Eucrossorhinus dasypogon,Eucrossorhinus_dasypogon,Orectolobiformes,Orectolobiformes,Orectolobidae,Eucrossorhinus,Sel,Extant,Eucro_das,Reef,AxUnd
Fenestraja cubensis,Fenestraja_cubensis,Rajiformes,Rajiformes,Gurgesiellidae,Fenestraja,Bat,Extant,Fenes_cub,Deep,Undul
Fenestraja ishiyamai ,Fenestraja_ishiyamai,Rajiformes,Rajiformes,Rajidae,Fenestraja,Bat,Extant,Fenes_ish,Deep,Undul
Fenestraja plutonia,Fenestraja_plutonia,Rajiformes,Rajiformes,Gurgesiellidae,Fenestraja,Bat,Extant,Fenes_plu,Deep,Undul
Fenestraja sinusmexicanus,Fenestraja_sinusmexicanus,Rajiformes,Rajiformes,Gurgesiellidae,Fenestraja,Bat,Extant,Fenes_sin,Deep,Undul
Glaucostegus cemiculus ,Glaucostegus_cemiculus,Rhinopristiformes,Rhinopristiformes,Glaucostegidae,Glaucostegus,Bat,Extant,Glauc_cem,Shelf,AxUnd
Glaucostegus granulatus ,Glaucostegus_granulatus,Rhinopristiformes,Rhinopristiformes,Glaucostegidae,Glaucostegus,Bat,Extant,Glauc_gra,Shelf,AxUnd
Glaucostegus thouin,Glaucostegus_thouin,Rhinopristiformes,Rhinopristiformes,Glaucostegidae,Glaucostegus,Bat,Extant,Glauc_tho,Shelf,AxUnd
Glaucostegus typus,Glaucostegus_typus,Rhinopristiformes,Rhinopristiformes,Glaucostegidae,Glaucostegus,Bat,Extant,Glauc_typ,Shelf,AxUnd
Gurgesiella atlantica,Gurgesiella_atlantica,Rajiformes,Rajiformes,Gurgesiellidae,Gurgesiella,Bat,Extant,Gurge_atl,Deep,Undul
Gurgesiella furvescens,Gurgesiella_furvescens,Rajiformes,Rajiformes,Gurgesiellidae,Gurgesiella,Bat,Extant,Gurge_fur,Deep,Undul
Gymnura altavela,Gymnura_altavela,Myliobatiformes,Myliobatiformes,Gymnuridae,Gymnura,Bat,Extant,Gymnu_alt,Shelf,Oscil
Gymnura australis,Gymnura_australis,Myliobatiformes,Myliobatiformes,Gymnuridae,Gymnura,Bat,Extant,Gymnu_aus,Shelf,Oscil
Gymnura crebripunctata,Gymnura_crebripunctata,Myliobatiformes,Myliobatiformes,Gymnuridae,Gymnura,Bat,Extant,Gymnu_cre,Shelf,Oscil
Gymnura japonica,Gymnura_japonica,Myliobatiformes,Myliobatiformes,Gymnuridae,Gymnura,Bat,Extant,Gymnu_jap,Shelf,Oscil
Gymnura marmorata ,Gymnura_marmorata,Myliobatiformes,Myliobatiformes,Gymnuridae,Gymnura,Bat,Extant,Gymnu_mar,Shelf,Oscil
Gymnura poecilura,Gymnura_poecilura,Myliobatiformes,Myliobatiformes,Gymnuridae,Gymnura,Bat,Extant,Gymnu_poe,Reef,Oscil
Gymnura tentaculata,Gymnura_tentaculata,Myliobatiformes,Myliobatiformes,Gymnuridae,Gymnura,Bat,Extant,Gymnu_ten,Shelf,Oscil
Gymnura zonurus ,Gymnura_zonura,Myliobatiformes,Myliobatiformes,Gymnuridae,Gymnura,Bat,Extant,Gymnu_zon,Reef,Oscil
Heliobatis radians,Heliobatis_radians,EoMylio,Myliobatiformes,,Heliobatis,Bat,Fossil,Helba_rad,Freshwater,Undul
Heliotrygon gomesi,Heliotrygon_gomesi,Myliobatiformes,Myliobatiformes,Potamotrygonidae,Heliotrygon,Bat,Extant,Helio_gom,Freshwater,Undul
Hexatrygon bickelli ,Hexatrygon_bickelli,Myliobatiformes,Myliobatiformes,Hexatrygonidae,Hexatrygon,Bat,Extant,Hexat_bic,Deep,Undul
Maculabatis macrura ,Himantura_gerrardi,Myliobatiformes,Myliobatiformes,Dasyatidae,Maculabatis,Bat,Extant,Macul_mac,Shelf,Undul
Maculabatis pastinacoides ,Himantura_pastinacoides,Myliobatiformes,Myliobatiformes,Dasyatidae,Maculabatis,Bat,Extant,Macul_pas,Shelf,Undul
Styracura schmardae ,Himantura_schmardae,Myliobatiformes,Myliobatiformes,Potamotrygonidae,Styracura,Bat,Extant,Styra_sch,Shelf,Undul
Fluvitrygon signifer ,Himantura_signifer,Myliobatiformes,Myliobatiformes,Dasyatidae,Fluvitrygon,Bat,Extant,Fluvi_sig,Freshwater,Undul
Pateobatis bleekeri ,Himantura_uarnacoides,Myliobatiformes,Myliobatiformes,Dasyatidae,Pateobatis,Bat,Extant,Pateo_ble,Shelf,Undul
Himantura uarnak,Himantura_uarnak,Myliobatiformes,Myliobatiformes,Dasyatidae,Himantura,Bat,Extant,Himan_uar,Reef,Undul
Himantura undulata ,Himantura_undulata,Myliobatiformes,Myliobatiformes,Dasyatidae,Himantura,Bat,Extant,Himan_und,Shelf,Undul
Brevitrygon walga ,Himantura_walga,Myliobatiformes,Myliobatiformes,Dasyatidae,Brevitrygon,Bat,Extant,Brevi_wal,Shelf,Undul
Hypnos monopterygius ,Hypnos_monopterygius,Torpediniformes,Torpediniformes,Hypnidae,Hypnos,Bat,Extant,Hypno_mon,Reef,AxUnd
Irolita waitii,Irolita_waitii,Rajiformes,Rajiformes,Arhynchobatidae,Irolita,Bat,Extant,Iroli_wai,Shelf,Undul
Lessiniabatis aenigmatica,Lessiniabatis_aenigmatica,EoMylio,Myliobatiformes,,Lessiniabatis,Bat,Fossil,Lessi_aen,Reef,Undul
Leucoraja erinaceus,Leucoraja_erinacea,Rajiformes,Rajiformes,Rajidae,Leucoraja,Bat,Extant,Leuco_eri,Deep,Undul
Leucoraja melitensis ,Leucoraja_melitensis,Rajiformes,Rajiformes,Rajidae,Leucoraja,Bat,Extant,Leuco_mel,Deep,Undul
Leucoraja ocellata,Leucoraja_ocellata,Rajiformes,Rajiformes,Rajidae,Leucoraja,Bat,Extant,Leuco_oce,Deep,Undul
Libanopristis hiram,Libanopristis_hiram,CrScle,Schlerorhynch,,Libanopristis,Bat,Fossil,Liban_hir,Shelf,AxUnd
Malacoraja senta ,Malacoraja_senta,Rajiformes,Rajiformes,Rajidae,Malacoraja,Bat,Extant,Malac_sen,Deep,Undul
Malacoraja spinacidermis ,Malacoraja_spinacidermis,Rajiformes,Rajiformes,Rajidae,Malacoraja,Bat,Extant,Malac_spi,Deep,Undul
Mobula munkiana,Mobula_munkiana,Myliobatiformes,Myliobatiformes,Mobulidae,Mobula,Bat,Extant,Mobul_mun,Shelf,Oscil
Myliobatis californica ,Myliobatis_californicus,Myliobatiformes,Myliobatiformes,Myliobatidae,Myliobatis,Bat,Extant,Mylio_cal,Shelf,Oscil
Myliobatis freminvillei ,Myliobatis_freminvillei,Myliobatiformes,Myliobatiformes,Myliobatidae,Myliobatis,Bat,Extant,Mylio_fre,Shelf,Oscil
Myliobatis goodei ,Myliobatis_goodei,Myliobatiformes,Myliobatiformes,Myliobatidae,Myliobatis,Bat,Extant,Mylio_goo,Shelf,Oscil
Myliobatis tobijei,Myliobatis_tobijei,Myliobatiformes,Myliobatiformes,Myliobatidae,Myliobatis,Bat,Extant,Mylio_tob,Shelf,Oscil
Narcine bancroftii ,Narcine_bancroftii,Torpediniformes,Torpediniformes,Narcinidae,Narcine,Bat,Extant,Narci_ban,Shelf,AxUnd
Narcine entemedor ,Narcine_entemedor,Torpediniformes,Torpediniformes,Narcinidae,Narcine,Bat,Extant,Narci_ent,Shelf,AxUnd
Narcine leoparda,Narcine_leoparda,Torpediniformes,Torpediniformes,Narcinidae,Narcine,Bat,Extant,Narci_leo,Shelf,AxUnd
Narcine oculifera ,Narcine_oculifera,Torpediniformes,Torpediniformes,Narcinidae,Narcine,Bat,Extant,Narci_ocu,Shelf,AxUnd
Narcine timlei ,Narcine_timlei,Torpediniformes,Torpediniformes,Narcinidae,Narcine,Bat,Extant,Narci_tim,Shelf,AxUnd
Narcine vermiculata ,Narcine_vermiculata,Torpediniformes,Torpediniformes,Narcinidae,Narcine,Bat,Extant,Narci_ver,Shelf,AxUnd
Narke japonica,Narke_japonica,Torpediniformes,Torpediniformes,Narkidae,Narke,Bat,Extant,Narke_jap,Reef,AxUnd
